Rank,Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Metascore
1,2014,121,8.1,757074,333.13,76
2,2012,124,7,485820,126.46,65
3,2016,117,7.3,157606,138.12,62
4,2016,108,7.2,60545,270.32,59
5,2016,123,6.2,393727,325.02,40
6,2016,103,6.1,56036,45.13,42
7,2016,128,8.3,258682,151.06,93
8,2016,89,6.4,2490,1,71
9,2016,141,7.1,7188,8.01,78
10,2016,116,7,192177,100.01,41
11,2016,133,7.5,232072,234.02,66
12,2016,127,7.8,93103,169.27,74
13,2016,133,7.9,323118,532.17,65
14,2016,107,7.7,118151,248.75,81
15,2016,109,6.4,8612,2.87,70
16,2016,87,6.6,120259,368.31,61
17,2016,139,8.2,211760,67.12,71
18,2016,123,6.7,150823,162.16,58
19,2016,118,8.1,102061,51.69,69
20,2016,116,8,340798,100.5,81
21,2016,120,6.7,19053,7.22,49
22,2016,137,7.9,134213,47.7,96
23,2016,108,6.7,1115,1,72
24,2016,92,6.5,38552,153.69,56
25,2016,120,5.3,127553,103.14,32
26,2016,83,6.8,222,1,1
27,2015,159,8.3,76193,6.5,1
28,2016,99,4.7,523,0.01,1
29,2016,100,6.2,66540,113.08,60
30,2016,115,5.9,112813,54.65,36
31,2016,111,6.3,48123,60.31,39
32,2016,116,7.5,126030,10.64,67
33,2016,144,7.1,275510,155.33,52
34,2016,108,8,627797,363.02,65
35,2016,107,5.6,46165,26.84,49
Evaluation Only. Created with Aspose.Cells for .NET.Copyright 2003 - 2022 Aspose Pty Ltd.
